id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
1267|Brugère|Aurélien, François, Marie, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1267|17|9|1841|1|7|1922
1271|Brugnot|Alfred, Barthélemy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1271|11|5|1827|7|4|1903
7909|Brunel|Georges, Jean-Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7909|1|4|1838|11|4|1890
1293|Brunier|Marie, Félix|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1293|26|10|1841|5|11|1891
1312|Burdeau|Auguste, Laurent|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1312|10|9|1851|12|12|1894
1331|Buvignier|Charles, Jean, Victor|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1331|1|1|1823|24|12|1902
1332|Buyat|Etienne|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1332|8|7|1831|12|3|1887
50|Caillard d'Aillières|Augustin, Fernand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/50|31|1|1849|2|2|1897
1376|Calès|Jean, Jules, Godefroy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1376|24|7|1828|2|11|1889
1392|Calvet-Rogniat|Henri, Ferdinand, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1392|12|11|1853|31|7|1915
1393|Calvinhac|Gustave, François, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1393|24|6|1849|6|7|1902
7911|Camélinat|Zéphirin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7911|14|9|1840|5|3|1932
8124|Camescasse|Ernest, Jean, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8124|23|9|1838|8|6|1897
7912|Cantagrel|François, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7912|27|6|1810|27|2|1887
7913|Caradec|Albert, Marie, Ambroise|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7913|12|3|1831|26|11|1916
1453|Carnot|Sadi, Marie, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1453|11|7|1837|25|6|1894
7914|Carret|Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7914|10|1|1844|30|7|1912
1471|Carron de la Carrière|Paul, Ange, Louis, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1471|22|7|1852|12|5|1915
7917|Casse|Eugène, François, Germain|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7917|22|9|1837|9|12|1900
1539|Cavaignac|Godefroy, Jacques, Marie, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1539|21|5|1853|24|9|1905
1541|Cavalié|Louis, Henri, Angeli|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1541|4|3|1831|2|5|1916
1554|Cazauvieilh|Octave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1554|4|5|1834|14|7|1892
