id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
1794|Chiché|Albert|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1794|9|9|1854|5|9|1937
7149|Chrestien de Treveneuc|Robert, François, Alfred, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7149|3|11|1860|5|2|1940
1818|Christophle|Albert, Silas, Médéric, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1818|13|7|1830|23|1|1904
1822|Cibiel|Alfred, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1822|11|5|1841|14|7|1914
4131|Cillard de Kermenguy|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4131|1|12|1810|27|11|1893
1831|Clament|Clément, Pierre, Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1831|17|2|1851|20|3|1925
1832|Clapot|Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1832|19|5|1850|28|7|1926
1838|Clausel de Coussergues|Claude|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1838|3|12|1831|2|7|1896
1843|Clédou|Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1843|25|5|1841|17|10|1903
1862|Cluseret|Gustave, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1862|13|6|1823|22|7|1900
1865|Coache|Emile, Charles, Alfred|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1865|8|5|1857|6|7|1910
1869|Cochery|Georges, Charles, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1869|20|3|1855|8|7|1914
1875|Cochin|Henry, Denis, Benoist, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1875|31|1|1854|9|12|1926
1874|Cochin|Denys, Pierre, Augustin, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1874|1|9|1851|24|3|1922
1878|Codet|Jean, Julien, Augustin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1878|24|7|1852|10|10|1920
